Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted net national income (current US$);Adjusted savings_education expenditure (% of GNI);Adjusted savings_education expenditure (current US$);Age dependency ratio (% of working-age population);Age dependency ratio, old (% of working-age population);Age dependency ratio, young (% of working-age population);Agricultural machinery, tractors per 100 sq. km of arable land;Exports of goods and services (% of GDP);External balance on goods and services (% of GDP);Final consumption expenditure (% of GDP);Fixed telephone subscriptions (per 100 people);Foreign direct investment, net inflows (% of GDP);Foreign direct investment, net inflows (BoP, current US$);Foreign direct investment, net outflows (% of GDP);Foreign direct investment, net outflows (BoP, current US$);GDP (constant 2010 US$);GDP per capita (constant 2010 US$);General government final consumption expenditure (% of GDP);GNI (current LCU);GNI per capita (current LCU);Gross capital formation (% of GDP);Gross fixed capital formation (% of GDP);Gross national expenditure (% of GDP);Imports of goods and services (% of GDP);Inflation, GDP deflator (annual %);Lower secondary school starting age (years);Merchandise exports by the reporting economy (current US$);Merchandise exports to high-income economies (% of total merchandise exports);Merchandise imports by the reporting economy (current US$);Merchandise imports from high-income economies (% of total merchandise imports);Merchandise trade (% of GDP);Population, total;Preprimary education, duration (years);Primary education, duration (years);Primary school starting age (years);Real effective exchange rate index (2010 = 100);Secondary education, duration (years);Trade (% of GDP);Urban population (% of total population);AI_publications;AI_patents
2005;China;7310;1583;9675;1601;31;933;396;374;8976;5299;420;2674;1708;743;3335;2619;420;1459;590;680;1,84E+12;1,79;40633000000;38,57309665;10,36869136;28,20440529;;33,82985757;5,451822266;54,15778574;26,33387587;4,554254034;1,04E+11;0,600602413;13729566303;3,56E+12;2732,16588;13,99504452;1,86E+13;14266,78341;41,3912114;40,47087742;95,54899715;28,3780353;3,902639778;12;7,62E+11;83,40315671;6,6E+11;69,71583939;62,20154048;1303720000;3;6;6;84,9191453;6;62,20789287;42,522;849;50
2006;China;8451;1955;11524;1877;43;1633;654;438;16531;8353;763;3412;1441;938;3051;3208;524;1930;774;840;2,2E+12;1,79;49225000000;37,60158774;10,46544009;27,13614765;;36,03502555;7,591167201;52,28278908;27,47935026;4,508579016;1,24E+11;0,869587667;23932198468;4,02E+12;3062,534905;13,94900639;2,19E+13;16706,72106;40,93327269;39,7484221;93,21606178;28,44385835;3,927910852;12;9,69E+11;81,42071691;7,92E+11;68,1054622;63,96637752;1311020000;3;6;6;86,25491284;6;64,4788839;43,868;1103;100
2007;China;9962;2720;12454;2427;112;1643;914;513;20644;9152;792;823;686;802;454;3929;845;2330;986;965;2,81E+12;1,79;63724000000;37,01376633;10,56765482;26,44611151;;35,43480164;8,676234343;50,43810925;27,1648336;4,400965217;1,56E+11;0,483187187;17154799702;4,59E+12;3480,152725;13,49025942;2,71E+13;20540,79074;41,48463891;38,89491685;91,92274816;26,7585673;7,749179838;12;1,22E+12;79,16802148;9,56E+11;66,84729;61,30597388;1317885000;3;6;6;89,33046991;6;62,19336894;45,199;640;131
2008;China;12519;3515;15073;3107;229;1818;1689;571;20400;9255;967;1169;921;881;518;4606;1028;2725;930;1667;3,51E+12;1,79;82877000000;36,74351372;10,68749544;26,05601828;;32,60271532;7,592712995;49,32465143;25,14529206;3,733635039;1,72E+11;1,23505631;56742276630;5,03E+12;3796,633363;13,1961605;3,21E+13;24250,05001;43,30309514;40,09524629;92,62774657;25,01000233;7,791801942;12;1,43E+12;76,84275749;1,13E+12;65,57234796;55,79209409;1324655000;3;6;6;97,02370918;6;57,61271765;46,539;827;265
2009;China;17065;4955;19932;3804;396;2818;2087;619;18600;11867;1189;1380;1215;1139;686;5516;1465;3825;1147;1717;4,01E+12;1,79;91290000000;36,60133718;10,83554086;25,76579633;;24,74985904;4,314842041;49,56083632;23,04871059;2,568888613;1,31E+11;0,860300774;43889985500;5,5E+12;4132,902312;13,21809258;3,48E+13;26135,7586;46,51641536;44,97175036;96,07725169;20,435017;-0,210533902;12;1,2E+12;76,62721052;1E+12;66,41367819;43,27055584;1331260000;3;6;6;101,111267;6;45,18487605;47,88;960;410
2010;China;20279;4406;23253;5032;271;3246;2392;858;23125;13112;1379;1691;1500;1317;761;6741;1624;4026;1423;2135;4,63E+12;1,79;1,09E+11;36,48972288;11,02079887;25,46892401;;27,1853298;3,653587386;48,28651788;21,50648138;4,003562471;2,44E+11;0,952062313;57953599366;6,09E+12;4550,453596;12,84591575;4,1E+13;30675,97864;47,71750935;45,0906597;96,00402724;23,53174242;6,881144874;12;1,58E+12;75,25785405;1,39E+12;64,7308153;48,8569183;1337705000;3;6;6;100;6;50,71707222;49,226;882;519
2011;China;24463;5923;29326;6796;354;4988;2892;966;25119;14898;1504;2179;1666;1687;983;7844;1775;5051;1839;2458;5,54E+12;1,79;1,34E+11;36,55419199;11,27822094;25,27597105;;26,56818828;2,395474008;49,39582361;20,71307585;3,708828754;2,8E+11;0,641205566;48420641060;6,67E+12;4961,234689;13,21680186;4,83E+13;35963,2476;47,81881465;45,02005513;97,21463827;24,17271428;8,07559638;12;1,9E+12;73,9037517;1,74E+12;63,45239153;48,22703827;1344130000;3;6;6;102,7244579;6;50,74090256;50,511;1062;656
2012;China;29516;9445;38606;7642;375;6481;3698;1496;28910;19290;1798;2330;2196;1749;1043;9469;2386;5508;2209;2801;6,44E+12;1,79;1,53E+11;36,65490765;11,5518607;25,10304695;;25,49252002;2,717521847;50,33845304;20,09476331;2,827090312;2,41E+11;0,761388066;64963386524;7,19E+12;5325,160106;13,47544601;5,37E+13;39781,66796;47,39129209;45,41585866;97,72974514;22,77499818;2,335120681;12;2,05E+12;73,09476678;1,82E+12;61,79030363;45,32365714;1350695000;3;6;6;108,7065353;6;48,2675182;51,765;1218;927
2013;China;36571;11372;48696;8812;542;10366;5420;1483;30183;21192;2376;2662;2912;2147;1326;11001;3087;6749;2901;3258;7,14E+12;1,79;1,71E+11;36,83460387;11,87584975;24,95875413;;24,59925566;2,454133419;50,6503282;19,18156459;3,039875621;2,91E+11;0,762463803;72970879683;7,75E+12;5710,587873;13,58858433;5,88E+13;43329,1488;47,57005946;45,68987558;98,22038766;22,14512224;2,161019142;12;2,21E+12;72,09982757;1,95E+12;63,03631071;43,45683041;1357380000;3;6;6;114,6376167;6;46,74437791;53,013;1414;1284
2014;China;42899;13009;56948;10244;749;14591;8129;1647;31926;25700;2933;3416;3525;2240;1675;13643;3524;7777;3311;3696;7,85E+12;1,79;1,88E+11;37,1756399;12,29971303;24,87592687;;23,59374007;2,122433427;51,19640508;17,82338014;2,568342504;2,68E+11;1,179568045;1,23E+11;8,32E+12;6096,487817;13,37525042;6,42E+13;47065,28766;47,20515414;45,23029091;98,40155922;21,47130664;0,791192996;12;2,34E+12;70,8505384;1,96E+12;63,42589257;41,20810448;1364270000;3;6;6;118,3367626;6;45,0650467;54,259;1774;1536
2015;China;54332;18625;71858;14318;1093;23547;9571;2284;37883;34897;3475;4283;4707;2667;1986;16136;4227;9611;4043;4116;8,35E+12;1,79;1,97E+11;37,71385735;12,85122331;24,86263404;;21,44327356;3,257540227;52,80907633;16,41940148;2,201338108;2,42E+11;1,583132961;1,74E+11;8,89E+12;6484,435948;14,03606606;6,83E+13;49838,13684;45,60334613;43,95132976;98,41242246;18,18573333;0,062699386;12;2,28E+12;71,11383761;1,6E+12;65,2488336;35,88596797;1371220000;3;6;6;129,9475914;6;39,6290069;55,5;2119;2351
2016;China;77261;20589;98447;24970;3007;40314;15587;4799;54933;47211;4113;5240;5755;3013;2430;18981;3807;12135;5173;4451;8,5E+12;1,79;2E+11;38,4988746;13,57653384;24,92234076;;19,75200486;2,293811453;54,03746513;14,61221985;1,568957057;1,75E+11;1,94312728;2,16E+11;9,49E+12;6883,895425;14,3862559;7,37E+13;53462,87894;44,47439578;42,98074094;98,51186092;17,4581934;1,07275629;12;2,14E+12;70,51828858;1,59E+12;66,02886244;33,09009677;1378665000;3;6;6;123,6223549;6;37,21019826;56,736;2664;4246
2017;China;96309;24095;115872;35977;7461;55225;24760;7349;63192;50590;5485;5380;6906;3688;2919;23068;4366;13595;6025;4911;9,11E+12;1,79;2,18E+11;39,43594557;14,42481655;25,01112902;;19,96295647;1,776224723;53,26216384;13,63504777;1,367677133;1,66E+11;1,138822129;1,38E+11;1,01E+13;7308,065366;14,5217637;8,2E+13;59153,37981;44,34394069;42,56679496;97,60610453;18,18673175;3,884169895;12;2,28E+12;69,89420112;1,83E+12;65,10202817;33,82172267;1386395000;3;6;6;120,0603862;6;38,14968822;57,96;3485;7451
1980;Finland;38;0;6;1;0;0;0;4;3;5;8;0;6;5;12;23;4;44;11;42;44283300443;4,5;2421696403;47,74524387;17,75807856;29,98716532;894,8923596;30,82271147;-1,301363758;69,59324955;36,33804717;0,052101064;27949721;0,254949203;136768016;1,22E+11;25627,05841;17,70805479;33761359100;7063,732999;31,24758594;27,31972547;100,8408355;32,12407523;9,635583662;13;14160920000;70,60650014;15615180000;68,48758708;55,52220638;4779535;4;6;7;116,6013321;6;62,9467867;71,727;0;0
1981;Finland;34;1;7;3;0;0;0;0;3;9;6;0;8;6;20;18;3;37;16;52;42929841944;4,6;2406084784;47,73394389;17,95048966;29,78345422;926,5949952;31,28694145;0,977224368;70,14737174;38,21354385;0,189990219;99646703;0,245770248;128902398;1,24E+11;25842,47417;18,34659942;37961055800;7908,612606;28,3972995;27,12323009;98,54467124;30,30971708;11,68261733;13;14011260000;63,90909882;14173630000;68,38438706;53,76148002;4799964;4;6;7;119,8371289;6;61,59665852;72,528;0;0
1982;Finland;86;1;2;1;0;0;0;0;1;2;4;0;17;4;18;21;17;34;22;52;43202768547;4,5;2364486567;47,44417387;18,05741208;29,38676179;976,4701027;28,87414434;0,172885078;71,22631591;39,87508014;0,001724651;910574;0,148028682;78155565;1,28E+11;26486,66175;18,45898652;42594422500;8824,324369;28,67322384;27,4163026;99,89953975;28,70125926;9,093564529;13;13073890000;62,65464984;13394700000;68,07617938;50,17085788;4826933;4;6;7;123,2932092;6;57,57540359;73,373;0;0
1983;Finland;115;2;6;5;0;0;1;0;3;4;14;2;18;4;13;27;10;33;29;62;41506075886;4,6;2329277797;47,06708475;18,12733191;28,93975284;1012,373496;28,70455688;-0,010470766;71,37083264;41,56573453;0,165714758;84470657;0,271841903;138567405;1,32E+11;27140,7095;18,78874183;47432778100;9768,298754;28,39462221;27,79360027;99,76545485;28,71502764;8,226852444;13;12533970000;63,59126438;12815430000;66,77528573;49,71992629;4855787;4;6;7;119,633991;6;57,41958452;74,202;0;0
1984;Finland;84;2;2;3;0;0;1;0;5;4;7;2;11;5;18;27;9;34;26;67;43171656968;4,5;2365488142;46,85082218;18,22675139;28,62407079;1004,498427;29,48559671;2,371866816;70,72764684;43,04239348;0,257492463;136184676;0,930574314;492169597;1,36E+11;27860,97053;18,94687617;53130232700;10883,32174;27,22970445;26,3224841;97,95735129;27,11372989;8,478013184;13;13479040000;70,94652141;12417070000;68,99655072;48,98012346;4881803;4;6;7;123,6214811;6;56,5993266;75,015;0;0
1985;Finland;66;1;11;5;0;0;2;0;5;7;5;3;8;4;13;25;9;65;21;55;45630532186;4,8;2668702236;46,89410824;18,39449269;28,49961555;995,6919076;27,98866856;0,669585372;71,77096747;44,58519472;0,201359905;112511586;0,622647025;347909401;1,41E+11;28720,59359;19,70469568;57951076700;11821,42829;26,94651901;26,65293158;98,71748648;27,31908318;5,24978501;13;13634990000;68,71490188;13241750000;70,78142995;48,05115907;4902206;4;6;7;124,5283139;6;55,30775174;75,808;0;0
1986;Finland;103;0;11;3;0;0;1;0;1;9;5;4;17;6;22;22;5;58;16;65;60249081369;4,9;3594583649;47,0127426;18,66025905;28,35248355;986,9002937;25,64720144;1,311151165;72,08938797;46,08200528;0,551203224;405308277;1,112416937;817977422;1,45E+11;29405,44939;19,93045476;62541179400;12716,39306;26,05713557;26,13369914;98,14652354;24,33605028;4,788935088;13;16355950000;71,25749345;15335900000;76,48224102;43,10394621;4918154;4;6;7;123,7224694;6;49,98325172;76,567;0;0
1987;Finland;73;0;9;4;0;0;0;2;3;12;8;1;15;9;15;40;16;51;24;99;74652482516;5;4564491587;47,34855399;18,97265486;28,37589913;960,8634814;24,99852324;0,518341308;72,45997992;47,81281153;0,298482234;273394061;1,255260343;1149752596;1,5E+11;30361,37809;20,31425365;67485634700;13682,87747;26,80459566;26,91830587;99,26457558;24,48018194;4,315011359;13;20012720000;75,6293997;19823710000;78,26864901;43,31143349;4932123;4;6;7;126,8259824;6;49,47870518;77,291;0;0
1988;Finland;79;1;16;4;0;0;0;0;11;10;9;3;18;14;24;32;10;98;32;89;89100238852;4,9;5341000000;47,81701284;19,31435846;28,50265438;957,0869362;23,90547815;-0,346701771;70,40913416;49,78747601;0,48757225;531741375;2,406085235;2624052274;1,58E+11;31842,00123;19,60820093;76595793700;15484,90608;29,10470133;28,17408078;99,51383549;24,25217992;7,719160137;13;21753839247;77,26709321;21145130000;79,53892929;39,31633669;4946481;4;6;7;131,2526262;6;48,15765807;78;2;0
1989;Finland;70;7;12;2;0;0;0;0;13;7;7;4;13;13;28;65;12;94;35;102;95030866164;4,9;5733000000;48,28267538;19,65515212;28,62752325;935,9932966;23,02336683;-1,82789815;69,68250457;51,87744306;0,41187074;490175831;2,49389615;2968037054;1,65E+11;33330,36968;19,41763398;84774746800;17076,63404;31,99986029;30,5573343;101,6823649;24,85126498;6,564959055;13;23304491646;77,03395787;24432234425;80,57561315;40,10854199;4964371;4;6;7;138,3680644;6;47,8746318;78,691;4;0
1990;Finland;80;2;23;4;0;0;3;0;18;13;13;6;21;14;27;43;15;82;38;98;1,11E+11;5,2;7228000000;48,68126137;19,97594948;28,7053119;916,5322797;22,14624171;-1,549049572;70,92646137;53,43431497;0,574223939;812172838;1,967062469;2782180611;1,67E+11;33396,19729;20,87094185;89393692200;17927,38979;30,13885377;29,67930606;101,0653151;23,69529129;5,224179173;13;26569639077;78,24963194;26943931687;82,64825636;37,87657428;4986431;4;6;7;142,1595883;6;45,841533;79,367;5;1
1991;Finland;57;5;19;9;0;0;8;11;34;39;15;8;11;34;48;83;7;112;38;116;97201314015;6,3;7812000000;49,01255468;20,32715516;28,68539952;892,725157;21,26951979;-0,949378014;77,09064546;54,14489577;-0,182278447;-232904202;-0,093904476;-119985370;1,57E+11;31250,53592;23,91281833;84513102800;16856,29945;24,09233708;25,87486622;101,1829825;22,2188978;1,539882203;13;23094352636;84,30121616;21816111059;83,0774558;35,13159979;5013740;4;6;7;135,2925709;6;43,48841759;79,843;17;1
1992;Finland;102;5;37;10;0;0;3;10;56;44;27;12;54;35;68;105;9;104;48;117;84288223746;6,7;7236000000;49,37214409;20,65640909;28,715735;887,3227485;25,54433724;0,846877875;78,28430563;54,35256223;0,35222682;396369714;-0,672731865;-757042116;1,51E+11;30043,36348;24,27048194;81359982400;16136,4759;21,07286924;22,22641598;99,35717487;24,69745937;0,91540151;13;23788036584;86,23254351;21082550946;83,47136419;40,15639239;5041992;4;6;7;117,3855273;6;50,24179661;80,128;23;0
1993;Finland;109;8;29;9;0;0;5;9;47;29;13;12;33;29;33;87;28;121;46;141;66454926367;7,6;6463751490;49,69197073;20,95414469;28,73782604;879,170291;31,38096794;4,59700378;77,17249265;54,48042101;0,967925394;863526071;1,570909295;1401472820;1,5E+11;29692,35676;23,30120876;81700943800;16125,88542;18,5840295;19,14990433;95,75652214;26,78396416;1,793543841;13;23346433734;83,47010244;18057838359;82,73578882;46,549809;5066447;4;6;7;99,87298648;6;58,1649321;80,409;16;0
1994;Finland;132;9;39;9;1;2;3;13;88;49;15;14;47;43;57;111;13;144;62;151;78749581563;6,9;6845613116;49,88741505;21,20688589;28,68052917;858,3728495;34,03563676;5,643037389;74,95289204;54,95284865;0,268964374;277840045;3,035699551;3135875908;1,56E+11;30727,86406;22,39694101;87151175700;17127,64784;19,7610993;18,65254714;94,71399134;28,39259937;1,873391045;13;29662218431;83,9018166;23212650490;81,50178044;51,28560425;5088333;4;6;7;106,3517393;6;62,42823612;80,688;16;0
1995;Finland;111;4;48;3;0;15;7;11;121;44;25;28;24;39;40;132;20;185;67;181;1,06E+11;6,8;8840000000;49,91530963;21,40968449;28,50562514;908,663401;35,76494942;7,456189307;72,85309846;54,89348028;1,081088343;1450710446;1,416476337;1900766973;1,63E+11;31901,8429;21,89469198;95668000000;18729,82249;20,34723843;19,27873444;93,20033689;28,30876011;4,200419281;13;39572434551;81,88266286;28113107164;82,78017173;52,13510436;5107790;4;6;7;115,8228891;6;64,07370953;80,963;31;0
1996;Finland;117;3;49;11;0;7;7;9;155;41;21;58;27;43;63;142;14;169;66;216;1,05E+11;6,8;8772000000;50,13561672;21,6728347;28,46278201;894,7914135;36,31946553;6,916920545;73,70473046;55,3243453;0,569873751;752969482;2,435212059;3217625584;1,69E+11;32963,47175;22,1594193;99780000000;19470,89055;20,24039262;20,50292409;93,94512309;29,40254499;-0,078400274;13;38431729903;81,05429998;29263078778;81,74094568;54,90536093;5124573;4;6;7;110,6485604;6;65,72201052;81,223;26;0
1997;Finland;94;4;63;8;4;9;12;24;219;38;17;36;49;42;70;131;21;203;76;207;1,03E+11;6,9661717;8707714625;50,05985069;21,88033365;28,17951705;870,3424515;37,77739673;7,333471712;71,40704107;55,53457022;1,933680856;2454075989;4,40128636;5585767239;1,8E+11;34947,37525;21,31183048;1,09E+11;21236,09026;21,75494328;21,36146633;93,16198435;30,44392502;2,080000053;13;39315599966;79,39402061;29783566906;80,64348882;57,58471414;5139835;4;6;7;105,7406795;6;68,22132176;81,466;27;0
1998;Finland;153;10;92;11;0;16;3;13;272;19;26;45;48;52;68;166;17;206;79;207;1,08E+11;6,4353612;8430323172;49,82126681;22,05511773;27,76614907;831,4876525;37,43878347;7,910420506;69,66316384;55,02253767;9,33679172;12514915951;14,31219398;19183881371;1,89E+11;36756,74424;20,57456381;1,18E+11;22926,75771;23,01492438;22,2097714;92,67808822;29,52836297;3,098115185;13;42104984355;80,38676279;31298792248;82,59129553;57,23122466;5153498;4;6;7;106,3143659;6;66,96714644;81,707;32;0
1999;Finland;115;9;126;10;0;38;11;19;329;57;34;55;58;69;89;190;20;214;76;273;1,11E+11;5,55;7437000000;49,61616042;22,22871996;27,38744046;805,1995413;37,60439976;8,968924328;69,10397428;55,06850368;5,767001203;7798047354;7,311444485;9886419010;1,98E+11;38277,61067;20,25985691;1,26E+11;24324,3892;22,40537048;22,44397869;91,50934476;28,63547543;0,926960299;13;42362267253;85,18441042;32414071400;84,39648189;54,99029295;5165474;4;6;7;105,3665572;6;66,23987519;81,946;40;0
2000;Finland;128;11;112;22;8;48;13;10;431;76;19;65;52;49;108;209;29;223;84;263;1,04E+11;5,4;6750000000;49,54363011;22,42246277;27,12116734;778,9451688;42,03104616;9,167265212;67,53785491;54,91199421;10,7388269;13499419748;22,49860938;28282248584;2,09E+11;40403,5496;19,73732428;1,36E+11;26195,42603;23,86435262;23,05741634;91,40220753;32,86378095;1,637828268;13;45879977900;82,90665246;34315315437;81,87593538;64,07377714;5176209;4;6;7;99,98512293;6;74,89482711;82,183;29;0
2001;Finland;177;13;202;21;1;36;21;19;344;104;23;58;61;62;69;218;54;334;86;256;1,07E+11;5,45;7030500000;49,44587306;22,72650675;26,71936631;779,6470897;39,76408441;9,251320629;67,47794341;53,95989637;2,489723294;3222225509;6,139918402;7946345581;2,15E+11;41363,69301;19,92560223;1,45E+11;27867,15055;23,17739304;22,87523854;90,65533645;30,51276378;3,303654401;13;43259277874;82,42169938;32653864974;81,84262857;58,62725752;5188008;4;6;7;100,6314398;6;70,27684819;82,368;44;0
2002;Finland;72;25;188;14;0;20;15;7;260;60;18;90;84;49;131;249;29;284;90;272;1,16E+11;5,55;7770000000;49,56702449;23,05744842;26,50957608;781,8239189;39,13500263;8,970542677;68,88056786;52,2811366;5,782939056;8080985212;5,25097894;7337632777;2,18E+11;41967,96758;20,62753391;1,49E+11;28638,24506;22,05258408;21,60203656;90,93315195;30,16445995;0,944311116;13;45170539516;83,47596827;34202420000;83,38149741;56,79398987;5200598;4;6;7;102,080555;6;69,29946258;82,503;25;0
2003;Finland;87;13;211;31;0;25;18;9;228;58;30;126;117;88;194;300;28;304;87;278;1,41E+11;5,669884312;9638803330;49,80362936;23,4026045;26,40102486;782,8168587;37,32083902;6,58587536;70,75038386;49,12084021;3,481875931;5963557456;0,121877904;208745486;2,23E+11;42706,92115;21,09667939;1,51E+11;28938,15363;22,2268351;21,78333959;92,97721896;30,73496366;0,190004843;13;53226344869;82,61601703;42510204114;81,10923763;55,86595233;5213014;4;6;7;107,0607537;6;68,05580267;82,638;36;0
2004;Finland;103;20;185;26;2;32;14;14;314;45;36;111;95;56;229;254;28;323;100;278;1,64E+11;5,62;11127600000;49,9921535;23,73682125;26,25533225;783,5367399;38,61537686;6,270550146;70,56400307;45,17213291;3,435159259;6771281519;1,399762994;2759170268;2,32E+11;44283,16252;21,18444425;1,6E+11;30579,52187;22,8700286;22,25777599;93,43403167;32,34482672;0,602422825;13;61590392308;78,4290972;51452214635;79,12202971;57,30760037;5228172;4;6;7;107,0117058;6;70,96020358;82,772;27;0
2005;Finland;141;5;134;32;0;23;15;3;236;23;25;160;113;70;277;327;25;357;99;307;1,69E+11;5,62;11521000000;50,07433493;24,05250503;26,0218299;783,5099486;40,27336705;3,967526277;71,04871666;40,31240593;5,310227051;10875828408;5,114096525;10474135236;2,38E+11;45358,56165;21,41152611;1,65E+11;31523,25081;24,60424927;22,91802024;95,65296593;36,30584078;0,929166553;13;65433391043;76,71382741;58692156688;77,52733498;60,67308434;5246096;4;6;7;103,8324578;6;76,57920783;82,905;24;0
2006;Finland;78;10;85;33;1;25;8;5;122;16;37;152;136;103;206;379;42;328;111;252;1,81E+11;5,47;11979300000;50,14165227;24,32185242;25,81979984;;43,07420025;4,16490743;71,13888616;36,19144021;2,135293917;4631613504;0,83018302;1800729565;2,48E+11;47004,61582;21,32078636;1,74E+11;33129,72298;23,99636778;22,76384206;95,13525394;38,90929282;0,920683532;13;77288183243;76,59549721;69448839583;75,80767565;67,57764166;5266268;4;6;7;102,4746768;6;81,98349306;83,037;34;0
2007;Finland;70;13;73;21;1;45;4;2;104;14;27;62;84;84;61;366;30;380;109;271;2,12E+11;5,3;13568000000;50,09524415;24,55224465;25,5429995;;43,8259066;4,794410708;69,34228532;32,84420014;8,586153638;21985066155;6,451606435;16519503409;2,61E+11;49285,27206;20,76687051;1,88E+11;35475,3135;25,55165925;24,19549692;94,89394458;39,03149589;2,753603821;13;90091522944;76,30229131;81757379080;75,62052044;67,06787087;5288720;4;6;7;103,9532812;6;82,8574025;83,168;36;0
2008;Finland;70;8;78;22;0;47;6;1;68;6;34;82;95;94;59;349;51;370;123;252;2,33E+11;5,44;15449600000;50,07927082;24,83222917;25,24704164;;44,90000772;3,615679613;70,88667542;31,0182502;6,818803523;19403176598;10,59837203;30158089091;2,63E+11;49440,96818;21,56487273;1,95E+11;36622,6967;25,24695648;24,49386148;96,13363189;41,28432811;3,037214547;13;96837967998;74,25257136;92108116294;73,53287803;66,15124557;5313399;4;6;7;105,6903416;6;86,18433583;83,299;45;0
2009;Finland;85;15;59;18;0;41;12;2;50;7;33;90;78;87;60;363;46;394;134;275;2,06E+11;6,01;15325500000;50,32121771;25,29171727;25,02950045;;36,08092568;2,038548092;76,21308742;26,76768755;-3,495697497;-8826514767;-1,546664757;-3905274793;2,41E+11;45231,96174;24,06752244;1,84E+11;34464,9646;21,47270656;22,95498688;97,68579399;34,04237759;1,774091377;13;62891432385;75,83202087;60887893795;73,82784575;49,00780282;5338871;4;6;7;106,7052676;6;70,12330327;83,429;40;0
2010;Finland;76;8;74;25;2;57;6;3;33;17;31;76;79;92;71;351;44;380;125;312;2,04E+11;6,07;15235700000;50,94831141;26,00773127;24,94058014;;38,41439756;1,364387726;76,31641889;23,29576565;4,906645478;12226437616;6,014521266;14987055692;2,49E+11;46459,97325;23,68623866;1,91E+11;35533,18895;22,08267116;22,29633842;98,39909005;37,05000983;0,322976445;13;69489105163;73,89527094;68769924860;72,50268849;55,51020915;5363352;4;6;7;100;6;75,46440739;83,77;29;0
2011;Finland;66;12;46;14;0;47;6;2;37;6;25;79;84;103;67;360;40;453;99;285;2,24E+11;6,02;16555000000;52,02271987;26,9584069;25,06431297;;38,90039293;-0,778795745;76,52350024;20,03696449;-2,182851126;-6008160154;-1,290068891;-3550833319;2,56E+11;47423,21042;23,36134708;1,99E+11;36886,77929;24,04418226;22,61639006;100,5676825;39,67918868;2,623667967;13;79145344845;73,44756464;84248929526;71,17505338;59,3677535;5388272;4;6;7;99,81168978;6;78,57958161;84,313;33;0
2012;Finland;60;6;61;25;0;37;16;0;42;14;28;90;92;89;63;457;50;436;133;304;2,08E+11;6,75;17415000000;53,37933606;28,13566016;25,2436759;;38,80827907;-1,553942807;78,13934748;16,42729054;1,909698377;4932843235;3,242334143;8375105845;2,52E+11;46538,57743;24,09705676;2,02E+11;37306,62761;23,39071912;23,07784139;101,5300666;40,36222188;2,973772676;13;73115664607;73,20864734;76557602737;72,14856017;57,89477391;5413971;4;6;7;96,99703478;6;79,17050095;84,841;26;0
2013;Finland;64;7;52;9;0;46;18;0;32;7;43;113;125;107;66;458;54;493;126;281;2,19E+11;6,719622621;18210177304;54,92437891;29,45233281;25,4720461;;38,01762912;-1,058628335;78,71975959;13,82979388;-1,82122196;-4940707106;-2,670559828;-7244835723;2,5E+11;45906,79934;24,53639127;2,05E+11;37720,36333;22,33446391;22,0080168;101,0542235;39,07625746;2,558627937;13;74446666999;74,36781483;77588946158;73,07888516;56,03215908;5438972;4;6;7;98,95169173;6;77,09388658;85,125;29;0
2014;Finland;60;25;38;18;5;44;11;1;19;11;39;109;165;98;77;521;66;577;144;319;2,22E+11;6,651771601;18292371904;56,45703508;30,75772121;25,69931387;;36,48143762;-1,149847509;79,02869544;11,696611;6,281884262;17243598342;-0,059387067;-163015856;2,49E+11;45550,49814;24,50736357;2,09E+11;38261,93186;21,9210525;21,47203681;100,9497479;37,63128513;1,63165611;13;74332942830;76,49535546;76765164428;75,9248427;55,04536405;5461512;4;6;7;100,4607158;6;74,11272276;85,175;39;0
2015;Finland;60;7;48;23;1;24;17;5;26;0;42;125;175;135;98;561;54;638;117;325;1,91E+11;6,409666691;15062716724;57,8258663;31,95086587;25,87500043;;35,38502997;-0,568278523;78,80254922;9,800913025;7,179999593;16843228522;-0,542422463;-1272443734;2,5E+11;45655,22325;24,36931485;2,14E+11;38980,52589;21,67590159;21,19319579;100,4784508;35,9533085;1,662595978;13;59817526848;78,48283063;60429993825;80,4909523;51,25937762;5479531;4;6;7;96,09670506;6;71,33833847;85,225;42;0
2016;Finland;121;13;64;21;0;46;15;3;23;49;49;139;201;133;93;517;56;708;151;330;1,97E+11;6,409666691;15511393393;59,04525435;33,06702802;25,97822633;;34,8158945;-1,277795148;77,99516286;8,318004232;2,026742043;4875739369;7,649287721;18401914255;2,57E+11;46720,56375;23,66243034;2,19E+11;39777,06052;23,25228523;22,72259109;101,2474481;36,09368965;0,188581589;13;57908373815;78,49224889;60840859075;80,62102184;49,36145528;5495303;4;6;7;97,21425169;6;70,90958415;85,275;42;0
