Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2010;Iran;0;0;0;0;0;0;0;0;0;0;185;275;119;261;81;1017;266;399;159;93;3,95E+11;4,11;20015700000;41,23;7,27;33,96;;24,4;5,03;53,73;35;0,75;3648972410;0,75;3648972410;4,87E+11;6603,21;10,8;5,04E+15;68281698,78;40,26;27,35;93,99;19,37;15,88;11;;;66806982411;72,74;34,23;73762519;1;5;6;100;7;43,77;70,63;394;0
2011;Iran;0;0;0;0;0;0;0;0;0;0;219;395;115;416;76;1315;474;516;175;132;4,69E+11;3,67;21406228409;40,98;7,41;33,57;;25,63;8,07;53,01;37,2;0,73;4276718690;0,73;4276718690;5E+11;6698,68;9,62;6,4E+15;85708113,81;36,88;26,77;89,89;17,56;23,74;11;;;62128755119;65,76;33,21;74634956;1;5;6;109,29;7;43,19;71,2;562;0
2012;Iran;0;0;0;0;0;0;0;0;0;0;247;378;130;425;95;1347;582;611;180;161;4,66E+11;3,22;19422027846;40,98;7,57;33,4;;24,13;0,88;57,13;38,07;0,78;4661734400;0,78;4661734400;4,63E+11;6125,73;9,46;7,39E+15;97876062,96;40,34;28,32;97,47;23,24;24,02;11;;;57044806189;57,54;27,66;75539862;1;5;6;119,85;7;47,37;71,76;685;0
2013;Iran;0;0;0;0;0;0;0;0;0;0;359;530;171;483;107;1425;654;747;278;228;3,59E+11;3,16;14883600000;41,2;7,76;33,44;;26,88;3,43;54,81;38,82;0,65;3049945000;0,65;3049945000;4,62E+11;6038,53;9,24;1E+16;130773360,6;38,69;25,38;93,5;23,45;35,57;12;;;48911547568;53,83;29,38;76481943;1;6;6;118,63;6;50,33;72,3;751;0
2014;Iran;0;0;0;0;0;0;0;0;0;0;408;548;197;474;127;1629;617;842;349;180;3,34E+11;2,86;12469600000;41,63;7,99;33,64;;23,14;1,68;56,59;37,92;0,48;2105494000;0,48;2105494000;4,83E+11;6236,29;10,28;1,16E+16;149122057,9;39,91;26,05;96,5;21,46;10,84;12;;;53007813970;45,21;34,59;77465753;1;6;6;88,53;6;44,6;72,83;771;0
2015;Iran;0;0;0;0;0;0;0;0;0;0;401;608;286;538;179;1994;909;999;392;281;3,02E+11;2,67;10344763466;42,22;8,26;33,96;;19,74;0,47;62,99;38,75;0,53;2050000000;0,53;2050000000;4,77E+11;6073,45;12,7;1,14E+16;145785544,9;34,03;22,72;97,03;19,27;0,43;12;;;41678679127;47,79;29,86;78492215;1;6;6;94,39;6;39,02;73,36;902;0
2016;Iran;0;0;0;0;0;0;0;0;0;0;408;670;325;598;216;2234;1044;1132;442;283;3,24E+11;3,22;13523110620;42,75;8,44;34,31;;22,4;1,59;62,71;38,8;0,8;3372000000;0,8;3372000000;5,41E+11;6794,29;13,32;1,32E+16;165805926,6;33,2;20,25;95,91;20,81;1,61;12;;;43185392061;47,92;27,68;79564016;1;6;6;97,88;6;43,21;73,88;1075;0
2017;Iran;0;0;0;0;0;0;0;0;0;0;541;727;504;698;268;2663;1053;1388;510;344;3,42E+11;3,62;16475991398;43,44;8,66;34,78;;24,94;1,1;61,05;38,51;1,11;5019000000;1,11;5019000000;5,61E+11;6952,44;13,43;1,53E+16;190210505,5;34,74;19,74;95,79;23,84;12,25;12;;;52083569721;54,47;31,33;80673951;1;6;6;98,6;6;48,78;74,39;1186;0
1980;Israel;13;0;3;1;0;0;0;0;0;2;26;1;11;12;25;62;38;35;27;87;19012824289;8,1;1861435588;71,48;14,86;56,63;824,62;37,13;-10,18;86,52;23,22;0,21;51000000;-0,01;-3000000;69299145757;17869,82;37,09;117251100;30,23;23,53;22,87;110,04;47,32;125,37;12;5543300000;74,22;9685400000;52,61;63,41;3878000;4;6;6;95,77;6;84,45;88,58;0;0
1981;Israel;25;2;9;5;0;1;1;1;0;4;23;0;16;22;28;66;33;42;39;93;20350084119;7,5;1840200658;71,61;14,94;56,67;815,38;35,96;-11,85;89,48;24,46;0,45;114400000;0,44;113600000;72999669522;18452,9;38,45;279828800;70,74;22,17;23,38;111,66;47,81;124,62;12;5673300000;72,25;10191200000;51,18;62,18;3956000;4;6;6;97,5;6;83,77;88,94;0;0
1982;Israel;31;2;11;7;0;0;0;0;0;11;27;0;24;26;38;52;40;42;35;99;22543421649;6,9;1829593778;71,63;14,91;56,71;824,62;31,01;-11,11;86,93;25,47;0,08;21300000;0,68;189400000;74519887617;18486,7;34,49;644607700;159,91;24,16;23,44;111,09;42,12;127,24;12;5286900000;68,1;9025300000;59,64;53,56;4031000;4;6;6;102,04;6;73,13;89,29;0;0
1983;Israel;27;1;9;4;0;0;8;0;7;13;30;2;18;37;45;64;39;48;28;111;25276112795;7,6;2246231794;71,52;14,83;56,69;872,22;28,47;-10,17;85,55;26,65;0,25;78500000;0,32;100200000;77023086313;18763,24;31,73;1661731600;404,81;24,6;24,06;110,15;38,64;149,92;12;5108400000;73,83;9591700000;63,3;47,22;4105000;4;6;6;111,13;6;67,11;89,61;0;0
1984;Israel;63;0;7;3;0;0;3;0;3;7;24;1;22;31;55;94;21;50;35;126;22710798869;7,4;1994959413;71,27;14,76;56,51;819,21;33,02;-8,17;84,91;27,36;0,31;89500000;0,08;24100000;77741876330;18692,44;34,56;7907694500;1901,35;22,99;21,42;107,89;41,19;384,77;12;5809200000;73,07;9800100000;57,84;53,59;4159000;4;6;6;104,35;6;74,22;89,72;0;0
1985;Israel;34;4;16;4;0;0;0;0;0;9;23;2;30;34;46;99;27;49;28;128;21192328664;8,7;2201322072;70,87;14,72;56,15;802,87;37,08;-5,77;85,53;29,24;0,41;112300000;0,35;95900000;80880269457;19107,08;32,54;29841790100;7049,8;19,51;19,19;105,03;42,85;264,54;12;6288400000;76,06;10010100000;56,2;58,66;4233000;4;6;6;101,99;6;79,93;89,83;2;0
1986;Israel;50;2;10;4;0;0;6;0;1;21;49;0;28;43;74;94;15;68;34;118;26808092222;6,7;2132651948;70,23;14,75;55,48;835,74;32,78;-4,48;84,51;31,29;0,42;143400000;0,37;127000000;84269269690;19602,06;27,5;47377626900;11020,62;19,15;18,34;103,66;37,26;50,16;12;7160000000;76,42;10809700000;66,03;52,67;4299000;4;6;6;99,49;6;70,04;89,94;2;0
1987;Israel;61;6;7;7;0;0;3;7;5;23;22;8;33;32;63;107;13;67;37;141;32846300004;6,1;2352894720;69,56;14,79;54,76;845,49;32,36;-8,18;88,07;33,43;0,55;224100000;0,41;167300000;90285852319;20665,11;30,09;61532985700;14084;19,51;19,97;107,57;40,54;20,18;12;8426000000;74,16;14347700000;60,38;55,66;4369000;4;6;6;96,94;6;72,91;90,04;5;0
1988;Israel;31;1;11;4;0;0;2;0;2;11;24;10;33;37;76;122;30;79;28;129;41006489296;4,8;2287545387;68,83;14,85;53,97;839,06;29,19;-5,27;85,91;34,7;0,53;267200000;0,29;147200000;92913185252;20916,97;28,34;76231304800;17161,48;18,53;18,46;104,44;34,45;19,17;12;9812800000;75,53;15012000000;62,54;49,44;4442000;4;6;6;106,88;6;63,64;90,15;5;0
1989;Israel;65;5;17;2;2;0;8;0;3;19;29;12;38;41;93;122;30;71;34;171;40816534974;6,1;2909679406;68,02;14,9;53,12;840,24;31,38;-3,68;84,82;35,39;0,32;160400000;0,22;109400000;93447200841;20683,31;26,84;91450279200;20241,32;17,89;17,68;102,71;35,07;18,7;12;11093700000;77,36;14149500000;66,58;50,94;4518000;4;6;6;108,14;6;66,45;90,26;4;1
1990;Israel;96;1;19;12;0;3;6;1;7;29;25;14;39;40;80;127;29;81;32;157;48980301173;5,7;3241547435;67,17;14,92;52,25;798,83;29,7;-4,93;84,21;36,56;0,26;151000000;0,34;199400000;1E+11;21519,97;27,39;1,15E+11;24615,51;20,02;19,78;104,23;34,63;15,93;12;12005000000;78,11;15337700000;73,28;48,93;4660000;4;6;6;105,73;6;64,32;90,36;15;1
1991;Israel;42;6;39;13;2;2;21;7;8;45;28;28;38;50;99;128;19;82;26;170;57159365155;5,8;3813028780;66,38;15,07;51,32;746,97;25,48;-7,87;81,96;37,12;0,51;345600000;0,49;331000000;1,08E+11;21828,86;26,71;1,5E+11;30288,07;25,93;24,67;107,88;33,35;20,13;12;11600500000;77,12;16819100000;76,02;45,26;4949000;4;6;6;107,24;6;58,83;90,46;24;1
1992;Israel;64;2;26;10;0;0;16;0;20;50;18;21;49;53;131;115;17;80;42;185;64084208579;6;4402571287;65,51;15,24;50,27;743,23;26,02;-5,96;80,16;37,96;0,78;588500000;0,77;579500000;1,16E+11;22723,69;25,38;1,81E+11;35236,32;25,69;24,51;105,85;31,97;12,06;12;13061500000;76,15;18957000000;73,67;44,14;5123000;4;6;6;104,47;6;57,99;90,57;16;0
1993;Israel;56;1;28;16;0;2;9;1;19;66;23;34;53;55;97;166;20;157;48;194;64084179143;6,4;4717925786;64,63;15,44;49,19;734,87;27,74;-7,9;81,61;39,72;0,8;604900000;0,81;615400000;1,21E+11;23038,57;25,44;2,09E+11;39672,37;26,33;23,93;107,94;35,64;11,09;12;14490600000;74,95;20509500000;74,34;49,29;5261000;4;6;6;103,11;6;63,37;90,67;20;0
1994;Israel;65;1;54;26;0;0;8;6;21;58;23;39;57;53;114;186;37;87;58;206;72874314687;6,9;5771205576;63,88;15,67;48,2;724,93;27,74;-7,65;81,91;41,87;0,51;441600000;0,86;741600000;1,3E+11;24117,22;25,21;2,52E+11;46667,32;25,71;24,47;107,62;35,39;12,54;12;16439800000;74,57;23729100000;75,24;48,78;5399000;4;6;6;104,28;6;63,14;90,77;20;1
1995;Israel;83;3;49;18;0;4;16;7;49;41;34;70;46;55;117;182;33;104;74;216;85255968972;6,87;6706853550;63,31;15,96;47,36;721,74;27,47;-7,78;81,96;44,44;1,35;1350300000;0,82;820200000;1,39E+11;25032,73;26,44;2,94E+11;53070,65;25,82;24,89;107,78;35,25;9,07;12;19017900000;76,57;28218100000;74,86;48,44;5545000;4;6;6;105,14;6;62,71;90,87;22;0
1996;Israel;58;5;57;20;1;10;19;2;51;70;29;72;55;67;97;224;37;98;81;279;93301820805;6,85;7324359934;62,73;15,98;46,75;732,74;27,05;-7,16;81,29;46,81;1,27;1397100000;0,74;815100000;1,46E+11;25613,56;26,91;3,4E+11;59814,61;25,87;25,31;107,16;34,21;10,57;12;20337800000;77,77;29938400000;75,17;47,48;5692000;4;6;6;110,24;6;61,26;90,94;33;0
1997;Israel;41;1;73;14;1;18;13;13;82;95;46;95;70;81;152;199;38;131;77;275;96545779640;6,83;7586650977;62,32;16,02;46,3;724,55;27,89;-4,69;79,82;48,05;1,42;1633800000;0,8;922700000;1,52E+11;25963,25;26,52;3,82E+11;65490,17;24,87;24,26;104,69;32,58;8,43;12;22595500000;82,03;28965000000;86,22;46,46;5836000;4;6;6;115,3;6;60,48;91,01;32;0
1998;Israel;82;10;95;17;0;14;14;7;84;92;41;98;89;72;200;220;35;106;61;298;97074168357;6,08;6807275485;62,05;16,07;45,98;718,36;28,59;-2,61;79,45;49,25;1,5;1737400000;0,97;1124300000;1,57E+11;26370,2;26,03;4,26E+11;71300,36;23,15;22,44;102,61;31,19;7,16;12;23412900000;81,96;27446800000;85,61;45,14;5971000;3;6;6;112,17;6;59,78;91,07;35;0
1999;Israel;90;1;115;21;2;29;22;13;97;63;43;113;72;86;164;226;27;94;80;286;95894812345;6,71;7515200000;61,82;16,13;45,68;714,26;32,64;-2,54;78,97;49,41;3,54;4150000000;0,71;829200000;1,62E+11;26507,85;25,55;4,64E+11;75745,09;23,58;22,26;102,54;35,19;6,72;12;25793200000;82,6;31095400000;83,64;50,35;6125000;3;6;6;106,71;6;67,83;91,14;30;1
2000;Israel;87;3;143;5;1;40;12;8;95;27;46;93;78;65;225;219;35;131;83;268;1,06E+11;5,98;7421061684;61,57;16,2;45,37;695,27;35,57;-0,09;77,3;50,02;6,08;8047500000;2,52;3335300000;1,74E+11;27741,28;24,32;5,06E+11;80447,81;22,8;21,19;100,09;35,66;3,58;12;31911700000;79,47;36802000000;77,32;52,21;6289000;3;6;6;112,48;6;71,23;91,2;31;2
2001;Israel;64;2;85;12;0;5;3;6;50;28;34;108;67;74;192;221;36;113;66;308;1,07E+11;6,36;7950000000;61,49;16,19;45,29;;31,3;-2,39;79,94;50,04;1,35;1771300000;0,53;687300000;1,75E+11;27127,22;25,52;5,27E+11;81852,61;22,45;20,55;102,39;33,69;1,79;12;29047100000;80,05;33299000000;78,74;49,33;6439000;3;6;6;111,38;6;64,99;91,27;33;0
2002;Israel;41;0;63;2;0;11;10;0;36;19;50;118;95;78;235;224;27;122;74;337;98849579015;6,4;7488000000;61,32;16,18;45,14;;32,89;-2,91;82,18;48,73;1,31;1582500000;0,81;980800000;1,75E+11;26582,38;26,88;5,53E+11;84160,8;20,73;19,93;102,91;35,8;4,37;12;29513300000;80,25;33106300000;77,78;53,55;6570000;3;6;6;100,71;6;68,69;91,33;35;0
2003;Israel;40;1;68;17;0;16;8;5;64;37;68;142;104;81;321;240;29;135;74;359;1,03E+11;6,31;7698200000;61,13;16,17;44,96;;34,63;-0,76;81,28;46,4;2,62;3322000000;1,64;2085700000;1,76E+11;26360,09;26,07;5,57E+11;83308,49;19,48;18,82;100,76;35,39;-0,21;12;31292400000;79,56;34213400000;73,82;53,63;6689700;3;6;6;95,66;6;70,02;91,39;19;0
2004;Israel;54;2;75;17;0;12;4;2;48;27;59;160;118;118;354;309;49;134;79;344;1,1E+11;5,82;7624200000;61;16,15;44,84;;39,12;0,08;80,23;45,27;2,18;2946900000;3,35;4540900000;1,84E+11;26982,31;24,69;5,89E+11;86573,05;19,7;18,82;99,92;39,04;0,8;12;38520200000;79,73;41101100000;73,18;60,14;6809000;3;6;6;89,8;6;78,16;91,46;27;2
2005;Israel;2;1;5;2;0;2;3;0;2;1;50;156;141;131;386;282;21;167;74;392;1,19E+11;5,61;7910100000;60,96;16,13;44,83;;40,77;-0,11;79,59;44,97;3,38;4818400000;2,07;2945300000;1,91E+11;27547,83;24,23;6,34E+11;91496,08;20,53;18,99;100,11;40,89;1,37;12;42506500000;80,88;44936700000;68,36;63,08;6930100;3;6;6;87,49;6;81,66;91,52;28;0
2006;Israel;4;0;15;5;0;17;3;0;6;1;58;166;176;100;414;363;47;191;66;402;1,29E+11;5,61;8583300000;60,59;16,16;44,43;;40,78;0,14;79,37;44,98;9,35;14395500000;10,02;15437900000;2,02E+11;28571,13;23,92;6,84E+11;96914,12;20,49;19,29;99,86;40,64;1,65;12;46426600000;81,53;47738500000;66,97;63,05;7053700;3;6;6;87,13;6;81,42;91,58;26;0
2007;Israel;7;0;26;2;0;11;2;0;3;6;45;107;110;123;161;305;38;160;82;406;1,51E+11;5,33;9487400000;60,37;16,19;44,18;;40,46;-0,93;79,56;44,9;4,92;8798100000;4,81;8604500000;2,13E+11;29688,67;23;7,34E+11;102255,09;21,37;20,17;100,93;41,39;1,27;12;54028100000;79,14;56585900000;66,86;63,22;7180100;3;6;6;88,18;6;81,84;91,64;33;1
2008;Israel;5;0;11;0;0;6;4;0;4;3;51;119;140;84;179;315;59;188;67;413;1,8E+11;5,39;11426800000;60,28;16,26;44,02;;38,47;-0,64;80,49;45,92;4,75;10274200000;3,34;7209200000;2,2E+11;30039,84;22,98;7,6E+11;104021,77;20,16;19,84;100,64;39,11;2,4;12;61310400000;77,5;65144600000;64,1;59,69;7308800;3;6;6;98,36;6;77,58;91,7;27;1
2009;Israel;5;0;16;5;0;5;1;2;4;6;61;102;158;92;179;311;50;159;65;409;1,72E+11;5,34;10786800000;60,34;16,45;43,89;;33,19;2,49;79,12;46,12;2,22;4606900000;0,84;1751100000;2,22E+11;29601,43;22,87;7,96E+11;106384,94;18,39;18,72;97,51;30,69;4,25;12;47705700000;75,93;47366100000;66,95;46,86;7485600;3;6;6;95,81;6;63,88;91,76;22;0
2010;Israel;4;0;18;1;0;5;2;1;10;1;63;106;149;94;177;319;32;184;64;435;1,97E+11;5,35;12251500000;60,54;16,77;43,77;;34,72;1,88;79,31;46,39;2,98;6984700000;3,39;7943400000;2,34E+11;30693,59;22,72;8,59E+11;112633,53;18,82;18,82;98,12;32,85;1,55;12;58415200000;73,18;59198900000;61,85;51,12;7623600;3;6;6;100;6;67,57;91,83;33;0
2011;Israel;2;1;72;7;0;3;4;1;19;4;50;99;115;120;172;304;37;195;102;389;2,23E+11;5,37;13854600000;61,16;16,98;44,18;;35,33;-0,2;79,1;46,75;3,31;8653000000;2,83;7400900000;2,45E+11;31572,9;22,46;9,23E+11;118849,26;21,1;20,4;100,2;35,52;2,05;12;67260600000;72,99;73535600000;62,89;54,93;7765800;3;6;6;101,15;6;70,85;91,89;22;0
2012;Israel;2;1;27;3;1;10;2;0;12;3;60;130;128;93;177;314;40;186;83;453;2,16E+11;5,31;13330808884;61,86;17,26;44,59;;35,95;-0,06;78,72;47,2;3,51;9017300000;0,88;2275600000;2,51E+11;31695,01;22,77;9,66E+11;122131,92;21,34;20,91;100,06;36,01;3,66;12;63190200000;71,93;73120600000;62,74;53,87;7910500;3;6;6;95,98;6;71,96;91,96;35;0
2013;Israel;9;2;24;4;0;7;8;1;9;8;54;99;150;98;133;339;38;212;101;463;2,48E+11;5,45;15649251120;62,62;17,62;45;;33,67;1,79;78,15;43,94;4,05;11842200000;1,32;3858200000;2,61E+11;32399,47;22,77;1,04E+12;128439,79;20,06;20,41;98,21;31,88;2,31;12;66583200000;71,01;71898300000;60,61;48,34;8059500;3;6;6;102,28;6;65,55;92,03;25;0
2014;Israel;5;4;37;6;0;21;10;2;12;9;58;103;156;95;150;385;41;223;92;493;2,67E+11;5,34;16442252695;63,4;18,02;45,39;;32,16;1,56;77,95;43,63;1,95;6048900000;1,46;4525500000;2,71E+11;32977,96;22,72;1,1E+12;133994,3;20,49;19,92;98,44;30,6;1,02;12;68955600000;71,03;72275700000;62,36;46,51;8215700;3;6;6;103,12;6;62,76;92,1;37;1
2015;Israel;6;2;12;4;1;4;3;0;5;4;60;113;167;98;200;385;59;259;96;503;2,59E+11;5,38;16025998268;64,17;18,43;45,74;;31,21;3,03;76,96;42,76;3,78;11336200000;3,66;10968400000;2,77E+11;33071,41;22,46;1,16E+12;137861,32;20,01;19,17;96,97;28,18;2,86;12;66040100000;67,66;62004700000;67,07;42,92;8380100;3;6;6;101,74;6;59,39;92,18;38;0
2016;Israel;4;1;8;6;0;5;6;0;7;1;79;125;174;109;227;400;59;279;118;522;2,75E+11;5,38;16994011586;65,01;18,93;46,09;;29,69;1,58;77,19;41,19;3,76;11988000000;4,57;14578400000;2,88E+11;33720,76;22,42;1,21E+12;142034,52;21,23;20,71;98,42;28,11;1,09;12;60144120000;71,18;65742221000;71,39;40,53;8546000;3;6;6;103,32;6;57,81;92,26;41;0
2017;Israel;8;1;37;9;1;8;1;0;12;5;67;111;169;113;151;386;62;268;124;460;3,05E+11;5,38;18822481187;65,76;19,44;46,32;;28,68;1,16;77,33;39,3;5,14;18168900000;1,74;6152800000;2,98E+11;34243,01;22,68;1,26E+12;144458,62;21,5;20,79;98,84;27,52;0,26;12;60016700000;74,95;69091000000;72,81;37,66;8713300;3;6;6;108,14;6;56,21;92,34;35;2
1980;Italy;66;8;69;18;0;3;1;0;19;28;5;1;24;27;23;155;37;111;69;193;4,13E+11;3,85;18441500000;54,64;20,66;33,98;1130,62;20,19;-2,6;76,1;23,1;0,12;578156245;0,15;739274897;1,38E+12;24475,52;16,55;2,12E+11;3764;26,77;25,67;102,87;22,79;20,82;11;77612700000;71,89;99467100000;70,05;37,47;56433883;3;5;6;97,45;8;42,97;66,64;0;0
1981;Italy;63;22;23;14;0;0;0;0;19;22;21;3;18;31;25;193;20;113;81;287;3,66E+11;4;17160000000;53,36;20,54;32,82;1167,96;21,67;-1,95;77,5;24,53;0,26;1124409633;0,32;1397671377;1,39E+12;24652,54;17,87;2,53E+11;4469,53;24,69;25,78;102,19;23,62;18,79;11;75236400000;67,85;91099200000;68,74;39,78;56501675;3;5;6;93,9;8;45,28;66,84;0;0
1982;Italy;75;20;32;10;0;0;1;7;15;48;23;3;28;38;23;189;19;112;65;322;3,61E+11;4,15;17637500000;51,87;20,21;31,66;1204,32;21,12;-1,27;77,75;25,95;0,14;615183541;0,22;960933113;1,4E+12;24736,16;17,94;2,98E+11;5265,88;23,73;24,29;101,48;22,39;17,54;11;73413300000;71,9;86219100000;67,08;37,71;56543548;3;5;6;95,02;8;43,51;66,89;0;0
1983;Italy;67;31;41;29;0;1;0;5;12;28;24;5;30;48;28;215;27;137;116;382;3,75E+11;4,3;18963000000;50,31;19,8;30,51;1281,24;20,33;0,48;77,42;27,48;0,27;1194907475;0,46;2023522830;1,42E+12;25016,3;18,34;3,47E+11;6137,91;22,25;22,94;99,66;19,86;15,1;11;72668600000;74,11;80357900000;65,55;34,46;56564074;3;5;6;100,22;8;40,19;66,87;0;0
1984;Italy;97;25;20;20;0;0;1;6;13;32;31;3;38;36;45;206;33;166;106;356;3,71E+11;4,5;19620000000;48,87;19,5;29,37;1316,92;21;-0,43;77,29;29,05;0,3;1313182672;0,43;1881019566;1,46E+12;25817,52;18,14;3,97E+11;7014,92;23,31;22,78;100,6;21,43;10,76;11;73247900000;75,69;84212500000;65,5;36,48;56576718;3;5;6;101,08;8;42,44;66,85;1;0
1985;Italy;94;31;57;18;0;0;1;4;12;36;28;13;27;49;57;282;45;127;126;390;3,83E+11;4,5;20250000000;47,67;19,41;28,26;1355,95;21,11;-0,41;77,42;30,55;0,24;1066817196;0,38;1740670245;1,5E+12;26532,24;18,28;4,45E+11;7860,6;23,17;22,36;100,59;21,52;9,17;11;78965100000;76,86;91039000000;65,88;36,36;56593071;3;5;6;100,68;8;42,64;66,83;3;0
1986;Italy;55;30;32;14;0;0;1;3;16;34;53;8;61;44;71;217;36;156;98;450;5,42E+11;4,4;27940000000;46,99;19,68;27,32;1396,82;18,7;1,24;77,12;32,03;-0,02;-153004673;0,38;2452979918;1,54E+12;27289,57;17,98;4,9E+11;8666,61;21,75;21,58;98,87;17,46;7,49;11;97753400000;79,75;99925700000;74,28;30,7;56596155;3;5;6;107,8;8;36,16;66,81;4;0
1987;Italy;73;23;46;16;0;0;1;6;12;21;35;12;29;55;104;246;45;178;166;436;6,85E+11;4,57;36612514908;46,51;20,1;26,4;1451,11;17,98;0,41;77,61;33,51;0,52;4188118187;0,26;2087007215;1,59E+12;28157,77;18,71;5,38E+11;9499,36;22,13;21,58;99,74;17,58;6,01;11;1,16E+11;81,66;1,25E+11;75,29;30,08;56601931;3;5;6;110,95;8;35,56;66,79;5;0
1988;Italy;129;14;37;23;0;1;2;3;11;50;57;11;54;84;124;281;37;191;167;506;7,59E+11;4,5;39870000000;46,16;20,63;25,52;1521,47;17,58;0,04;77,54;35,24;0,76;6789447589;0,53;4691866323;1,66E+12;29324,64;19,1;5,98E+11;10555,08;22,58;21,98;100,12;17,53;6,65;11;1,28E+11;82,27;1,39E+11;76,02;29,88;56629288;3;5;6;110,08;8;35,11;66,77;6;0
1989;Italy;128;28;36;19;4;1;4;14;28;76;43;23;47;77;178;354;59;237;239;533;7,89E+11;3,8;34998000000;45,89;21,17;24,72;1556,07;18,52;-0,02;77,86;37,29;0,24;2191462724;0,23;2140756886;1,72E+12;30295,54;18,91;6,55E+11;11554,35;22,33;22,02;100,18;18,54;6,2;11;1,41E+11;81,88;1,53E+11;74,88;31,61;56671781;3;5;6;112,77;8;37,05;66,75;9;0
1990;Italy;173;42;54;36;1;1;2;1;30;71;71;31;71;121;132;363;57;211;247;622;9,93E+11;3;34800000000;45,66;21,66;24;1586,5;18,26;0,2;77,4;39,18;0,55;6440765876;0,63;7445810659;1,75E+12;30871,29;19,6;7,22E+11;12729,16;22,56;22,29;99,96;18,06;8,91;11;1,7E+11;82,21;1,82E+11;75,25;29,82;56719240;3;5;6;118,38;8;36,32;66,73;16;1
1991;Italy;119;39;49;17;8;2;3;9;28;64;82;84;66;86;226;444;56;270;242;694;1,04E+12;2,9;35380000000;45,65;22,2;23,45;1635,74;17,04;0,19;77,76;40,41;0,19;2403349144;0,61;7612589652;1,78E+12;31324,53;19,69;7,87E+11;13866,91;22,2;21,89;99,96;16,84;7,58;11;1,69E+11;81,79;1,83E+11;76,05;28,26;56758521;3;5;6;118,33;8;33,88;66,71;53;0
1992;Italy;90;42;42;24;0;1;2;7;42;76;79;64;104;97;221;563;70;326;369;753;1,1E+12;4;51643700040;45,69;22,72;22,97;1635,72;17,48;0,04;78,55;41,49;0,24;3118551015;0,32;4288692483;1,79E+12;31564,42;19,53;8,27E+11;14555;21,57;21,33;100,12;17,43;4,37;11;1,77E+11;81,46;1,87E+11;77,57;27,77;56797087;3;5;6;116,5;8;34,91;66,74;61;1
1993;Italy;106;50;42;21;1;3;1;21;44;58;61;79;98;143;128;624;67;283;318;703;8,92E+11;4,7;49350000000;45,78;23,21;22,57;1712,66;20,4;3,04;77,92;42,25;0,35;3738910088;0,68;7226904391;1,78E+12;31276,11;19,38;8,53E+11;15013,75;19,07;19,1;96,99;17,36;3,89;11;1,68E+11;81,21;1,48E+11;76,18;29,8;56831821;3;5;6;98,12;8;37,76;66,8;57;1
1994;Italy;78;29;32;38;0;0;3;14;32;52;72;93;127;169;167;758;86;389;399;822;9,17E+11;4,5;48600000000;45,92;23,7;22,22;1789,85;21,87;3,29;77,73;42,9;0,2;2208555823;0,48;5246820023;1,82E+12;31942,35;18,69;9,01E+11;15854,4;19,01;18,81;96,73;18,58;3,54;11;1,9E+11;82,22;1,68E+11;75,79;32,8;56843400;3;5;6;95,71;8;40,46;66,86;76;1
